simulation_id,auction_type,per_ruolo,agent_id,agent_type,total_evaluation,bestxi_evaluation,credits_spent,players_count,bestxi_budget
chiamata_True_1,chiamata,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,4.158311345646438,2.5461741424802113,993,25,0.95
chiamata_True_1,chiamata,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,4.137203166226913,2.5857519788918206,997,25,0.99
chiamata_True_1,chiamata,True,RLDeepAgent,RLDeepAgent,3.5356200527704487,1.7308707124010554,1000,25,
chiamata_True_1,chiamata,True,random_1,RandomAgent,3.6596306068601585,2.129287598944591,1000,25,
chiamata_True_1,chiamata,True,cap_tier,CapAgent,4.031662269129288,2.6358839050131926,1000,25,0.95
chiamata_True_1,chiamata,True,dynamic_cap_tier,DynamicCapAgent,3.9102902374670183,2.5646437994722953,999,25,0.95
chiamata_True_1,chiamata,True,cap_bestx1_balanced,CapAgent,4.725593667546174,2.445910290237467,710,25,0.95
chiamata_True_1,chiamata,True,cap_bestx1_aggressive,CapAgent,3.3271767810026387,2.786279683377309,988,13,0.99
chiamata_True_2,chiamata,True,random_1,RandomAgent,3.3693931398416885,1.7862796833773087,1000,25,
chiamata_True_2,chiamata,True,cap_bestx1_aggressive,CapAgent,4.142480211081795,2.905013192612137,1000,25,0.99
chiamata_True_2,chiamata,True,cap_tier,CapAgent,4.1345646437994725,2.3773087071240107,1000,25,0.95
chiamata_True_2,chiamata,True,dynamic_cap_tier,DynamicCapAgent,4.03957783641161,2.4670184696569923,988,25,0.95
chiamata_True_2,chiamata,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,4.005277044854881,2.2559366754617414,970,25,0.95
chiamata_True_2,chiamata,True,cap_bestx1_balanced,CapAgent,4.883905013192612,2.7678100263852246,992,25,0.95
chiamata_True_2,chiamata,True,RLDeepAgent,RLDeepAgent,3.3984168865435356,1.6121372031662269,1000,25,
chiamata_True_2,chiamata,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,3.9815303430079156,2.2559366754617414,971,25,0.99
chiamata_True_3,chiamata,True,dynamic_cap_tier,DynamicCapAgent,4.068601583113456,2.646437994722955,995,25,0.95
chiamata_True_3,chiamata,True,random_1,RandomAgent,3.770448548812665,2.087071240105541,999,25,
