episode,bestxi_evaluation,credits_spent,num_decisions
1,1.6833773087071242,1000,359
2,1.5013192612137203,312,1726
3,0.0,0,2114
4,0.0,0,2076
5,1.7282321899736148,1000,314
6,0.0,0,2012
7,1.5356200527704489,1000,437
8,0.0,0,2125
9,0.0,0,2079
10,0.0,0,2127
11,1.7625329815303432,1000,294
12,1.6385224274406334,997,654
13,1.765171503957784,1000,321
14,1.7044854881266494,1000,427
15,1.6094986807387868,1000,423
16,0.0,0,2064
17,0.0,0,2128
18,0.0,0,1691
19,0.0,0,2115
20,1.1794195250659631,443,1827
21,0.0,0,2221
22,1.7124010554089713,999,405
23,0.0,0,2038
24,1.6358839050131926,1000,429
25,0.0,0,2161
26,0.0,0,2201
27,1.8944591029023747,1000,436
28,2.1108179419525066,1000,654
29,1.8918205804749342,1000,317
30,1.986807387862797,1000,285
31,1.74934036939314,1000,438
32,1.670184696569921,1000,473
33,0.0,0,2132
34,1.7097625329815305,1000,273
35,1.9683377308707126,1000,415
36,1.633245382585752,1000,413
37,1.6279683377308707,988,200
38,1.815303430079156,999,376
39,1.8153034300791557,1000,447
40,1.6649076517150398,1000,420
41,0.0,0,2071
42,0.0,0,2128
43,1.7229551451187335,1000,414
44,1.8100263852242746,1000,409
45,1.6781002638522429,999,499
46,1.3799472295514512,989,362
47,1.8522427440633247,1000,485
48,0.0,0,2189
49,1.8047493403693935,999,374
50,1.6332453825857522,1000,374
51,1.7598944591029029,1000,354
52,0.0,0,2196
53,1.8918205804749344,1000,379
54,0.986807387862797,534,1734
55,2.364116094986807,992,1743
56,1.6517150395778366,1000,468
57,0.0,0,2208
58,0.0,0,1688
59,1.3614775725593666,988,372
60,1.741424802110818,1000,300
61,0.0,0,2216
62,1.7651715039577835,1000,442
63,0.0,0,2035
64,0.0,0,2023
65,0.0,0,2134
66,1.6094986807387865,1000,351
67,2.0,1000,590
68,1.7889182058047495,999,372
69,0.0,0,2118
70,1.6569920844327177,1000,335
71,1.6886543535620053,1000,675
72,0.0,0,2189
73,1.6490765171503958,1000,419
74,1.6306068601583115,1000,359
75,0.0,0,2191
76,1.606860158311346,1000,399
77,1.912928759894459,1000,430
78,1.6965699208443275,1000,339
79,1.6860158311345648,1000,264
80,0.0,0,2194
81,1.4300791556728234,988,269
82,0.0,0,2127
83,0.0,0,2065
84,1.606860158311346,1000,420
85,0.0,0,2188
86,0.0,0,2053
87,2.430079155672823,868,2126
88,0.0,0,2108
89,0.08179419525065963,2,2146
90,1.6649076517150398,1000,429
91,2.7493403693931397,999,2014
92,0.0,0,2250
93,0.0,0,1681
94,0.0,0,2072
95,1.9129287598944595,1000,543
96,0.0,0,2196
97,1.6807387862796836,1000,264
98,1.633245382585752,1000,404
99,1.7836411609498684,1000,357
100,0.0,0,2205
101,0.0,0,2249
102,0.0,0,2164
103,1.424802110817942,991,395
104,0.6174142480211081,166,1664
105,0.0,0,2221
106,2.0923482849604222,1000,758
107,1.6965699208443272,1000,309
108,1.1794195250659631,253,1945
109,0.0,0,2151
110,0.0,0,2111
111,1.6174142480211082,1000,286
112,0.0,0,1993
113,0.0,0,2079
114,1.778364116094987,1000,392
115,0.0,0,2132
116,0.0,0,2198
117,1.9472295514511875,999,396
118,0.0,0,2106
119,1.4327176781002637,990,347
120,0.8364116094986808,269,2086
121,1.656992084432718,1000,397
122,1.7889182058047495,1000,423
123,0.0,0,2202
124,0.7044854881266491,242,2179
125,0.0,1,2165
126,0.0,0,1728
127,0.0,0,2079
128,1.6174142480211082,1000,389
129,0.0,0,2072
130,1.799472295514512,1000,411
131,1.4854881266490765,785,1716
132,1.8522427440633247,999,496
133,0.0,0,2043
134,0.0,0,2130
135,1.424802110817942,988,271
136,2.3060686015831133,586,2018
137,1.3614775725593669,987,260
138,0.0,0,2120
139,1.66490765171504,1000,285
140,1.74934036939314,1000,359
141,1.7097625329815302,1000,429
142,0.0,0,2080
143,1.8759894459102904,1000,473
144,1.6147757255936677,1000,447
145,1.5197889182058049,318,2211
146,1.9102902374670185,1000,436
147,0.20844327176781002,2,2170
148,1.6094986807387865,1000,397
149,0.0,0,2198
150,1.7361477572559372,1000,295
151,1.6385224274406334,1000,434
152,1.6886543535620056,1000,297
153,0.0,0,2106
154,1.7176781002638524,1000,310
155,0.0,0,1703
156,1.1978891820580473,486,1801
157,1.8891820580474936,1000,630
158,0.17678100263852242,44,2180
159,0.0,0,2157
160,0.6358839050131926,163,2108
161,1.2269129287598945,561,2070
162,0.2796833773087071,61,2083
163,1.8021108179419527,999,493
164,0.0,0,2163
165,1.3720316622691293,988,378
166,0.0,0,2215
167,0.0,0,2110
168,1.6147757255936677,1000,419
169,2.5699208443271773,965,1434
170,0.0,0,2072
171,1.7018469656992088,1000,285
172,0.0,0,2058
173,0.0,0,2185
174,3.0791556728232194,986,1798
175,1.778364116094987,1000,269
176,0.0,0,2075
177,1.949868073878628,1000,467
178,1.4168865435356204,285,2012
179,1.6253298153034301,1000,347
180,1.74934036939314,1000,564
181,1.8390501319261214,1000,491
182,2.6807387862796834,985,2035
183,0.0,0,1714
184,1.087071240105541,251,1823
185,0.6886543535620053,273,2093
186,1.9393139841688656,999,367
187,0.0,0,2112
188,1.3693931398416885,988,386
189,0.0,0,2072
190,0.0,0,2136
191,1.8601583113456468,1000,416
192,0.0,0,2163
193,0.0,0,2068
194,0.0,0,2220
195,0.0,0,2007
196,1.6068601583113458,1000,402
197,1.8443271767810028,1000,453
198,0.0,0,1678
199,0.0,0,2078
200,0.0,0,2090
